name,synonyms,category,status_general,risk_level,risk_notes,allergen_flags,diet_tags,environmental_notes,evidence_grade,jurisdiction_status,typical_use,source_citations,last_reviewed,avoid_if
Salt,,Basic Ingredient,Approved,Low,High sodium intake associated with hypertension,None,vegan,Mining/sea extraction impact,A,Approved widely,Seasoning; preservation,FDA; EFSA; USDA; PubChem,2025-08-20,"Cardiovascular disease risk, High blood pressure, Kidney disease"
Sugar,Sucrose; Table Sugar,Sweetener,Approved,Moderate,Excess linked to obesity and metabolic risk,None,vegan,High water/land for cane/beet,A,Approved widely,Sweetening; bakery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes risk, Metabolic syndrome, Obesity"
Water,,Basic Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Solvent; base for beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
High Fructose Corn Syrup,HFCS; Glucose-Fructose Syrup,Sweetener,Approved,High,Excess linked to NAFLD and metabolic syndrome,None,vegan,Corn monoculture footprint,B,Approved with limits,Soft drinks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,"Cardiovascular disease risk, Diabetes risk, Metabolic syndrome, Non-alcoholic fatty liver disease (NAFLD)"
Corn Syrup,,Sweetener,Approved,Moderate,High glycemic load,None,vegan,Corn monoculture footprint,B,Approved widely,Candies; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Dextrose,Glucose,Sweetener,Approved,Moderate,High glycemic load,None,vegan,—,B,Approved widely,Bakery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Fructose,,Sweetener,Approved,Moderate,Excess fructose burden on liver,None,vegan,—,B,Approved widely,Sweetening; bars,FDA; EFSA; USDA; PubChem,2025-08-20,None
Maltodextrin,Hydrolyzed starch,Sweetener,Approved,Moderate,High glycemic index; GI distress in excess,None,vegan,—,B,Approved widely,Fillers; powders,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Invert Sugar,,Sweetener,Approved,Moderate,High glycemic load,None,vegan,—,B,Approved widely,Confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Brown Sugar,Soft sugar,Sweetener,Approved,Moderate,High glycemic load,None,vegan,—,B,Approved widely,Baked goods,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
